,,,,,,,,,,,,,
No,Settlement Date,Transaction Datetime,Shop/Outlet Name,Shop/Outlet Location,Transaction Reference,Merchant Reference,Transaction Type,Transaction Amount (RM),Commission Amount (RM),Commission GST (RM),Settlement Amount (RM),Payment Details,Settlement Mode
1,2/12/2024,1/12/2024 12:30,10CAMPENTERPRISE,,2.02E+34,20241201MBBEMYKL030OQR85191683,DUITNOW_QR_AQC,30.61,0,0,30.61,,
2,2/12/2024,1/12/2024 15:43,10 CAMP ENTERPRISE,,2.02E+34,20241201CIBBMYKL030OQR11505603,DUITNOW_QR_AQC,358.28,0,0,358.28,,
3,2/12/2024,1/12/2024 15:54,10 CAMP ENTERPRISE,,2.02E+34,20241201CIBBMYKL030OQR11586229,DUITNOW_QR_AQC,31,0,0,31,,
4,3/12/2024,2/12/2024 12:45,10 CAMP ENTERPRISE,,2.02E+34,20241202CIBBMYKL030OQR02849439,DUITNOW_QR_AQC,58.37,0,0,58.37,,
5,4/12/2024,3/12/2024 15:08,10 CAMP ENTERPRISE,,2.02E+34,20241203CIBBMYKL030OQR03860432,DUITNOW_QR_AQC,99,0,0,99,,
6,4/12/2024,3/12/2024 16:38,10 CAMP ENTERPRISE,,2.02E+34,20241203CIBBMYKL030OQR04481764,DUITNOW_QR_AQC,150,0,0,150,,
7,6/12/2024,5/12/2024 13:15,10 CAMP ENTERPRISE,,2.02E+34,20241205CIBBMYKL030OQR02886718,DUITNOW_QR_AQC,76.78,0,0,76.78,,
8,7/12/2024,6/12/2024 13:04,10 CAMP ENTERPRISE,,2.02E+34,20241206BSNAMYK1030OQR00115223,DUITNOW_QR_AQC,53,0,0,53,,
9,7/12/2024,6/12/2024 15:40,10CAMPENTERPRISE,,2.02E+34,20241206MBBEMYKL030OQR77485615,DUITNOW_QR_AQC,20,0,0,20,,
10,8/12/2024,7/12/2024 14:07,10CAMPENTERPRISE,,2.02E+34,20241207MBBEMYKL030OQR70678883,DUITNOW_QR_AQC,142,0,0,142,,
11,8/12/2024,7/12/2024 18:32,10CAMPENTERPRISE,,2.02E+34,20241207MBBEMYKL030OQR83135041,DUITNOW_QR_AQC,48.91,0,0,48.91,,
12,10/12/2024,9/12/2024 15:55,10 CAMP ENTERPRISE,,2.02E+34,20241209BIMBMYKL030OQR50693708,DUITNOW_QR_AQC,7.8,0,0,7.8,,
13,11/12/2024,10/12/2024 14:22,10CAMPENTERPRISE,,2.02E+34,20241210MBBEMYKL030OQR85853936,DUITNOW_QR_AQC,193,0,0,193,,
14,13/12/2024,12/12/2024 17:55,10CAMPENTERPRISE,,2.02E+34,20241212MBBEMYKL030OQR75935681,DUITNOW_QR_AQC,1,0,0,1,Testing,
15,15/12/2024,14/12/2024 17:30,10CAMPENTERPRISE,,2.02E+34,20241214MBBEMYKL030OQR70267633,DUITNOW_QR_AQC,64,0,0,64,,
